"","Won_percent_Aerial","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","Comp_from_to","On_minus_Off_Team.Success","On_minus_Off_Team.Success..xG","PC1_diff","PC3_diff","PPM_Team.Success","plus_per__minus__Team.Success","unSub_Subs","plus_per__minus_90_Team.Success","PC2_diff","PC4_diff","total_diff","Cmp_percent_Long","Cmp_percent_Medium","FK_Pass","A_minus_xAG_Expected","Att.Pen_Touches","Nation","Tkld_percent_Take","Cmp_percent_Total","Sh_per_90_Standard","Cmp_percent_Short","npxG_per_Sh_Expected","Mn_per_MP_Playing.Time","Dist_Standard","np.G_minus_xG_Expected","Att.3rd_Touches","Succ_percent_Take","Fls","Tkl_percent_Challenges","Fld","SoT_percent_Standard","SCA90_SCA","Mid.3rd_Tackles","Tkl.Int","Blocks_Blocks","Lost_Challenges","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Sh_Blocks","Pass_Blocks","Int","Clr","Err","SCA_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Cmp_Total","Att_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_Medium","Att_Medium","Cmp_Long","Att_Long","Ast","xAG","xA_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Live_Touches","Att_Take","Succ_Take","Tkld_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","Subs_Subs","onG_Team.Success","onGA_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","player_position","Comp_going"
"A_minus_xAG_Expected",0.00815212859127305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147570425748335,0.00269125143191596,0.00161932552426072,0.0066319057048766,0,0.00194372851340749,0.00176239767982877,0.00179495876444952,0.000853253822658757,0.0015986651909142,0.0014697659327569,0.00160627528420515,0,0.00106577581010789,0.00082528453155487,0.000573490365493133,0.000799517464155974,0.00162692684487392,0,0.000821454080868741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.Pen_Touches",0.01548802248572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377134598395395,0.0052713360711447,0,0,0.0123632671549146,0.00547559294539939,0.00284403989485644,0.00544208689210232,0.00132496191371176,0.00311238456025606,0.00128999751584539,0.0015918852663773,0,0.00166226162048541,0,0.00160817150917594,0.00294289753349517,0.0026644699836852,0,0.000876259016977171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nation",0,0,0,0,0,0,0,0,0,0.0025845114308611,0,0.00246538849287818,0,0,0,0,0,0.00177334377651352,0.00194372851340749,0.00547559294539939,0.0132922051751367,0.00391198880474842,0.00474774153193996,0.00255196950223538,0,0.00267994486609982,0.0020264689811794,0.00272077346665859,0.00200609754101075,0.00257846995003458,0.00246388352247979,0.00433174119376777,0.00438816304099398,0.00268054041994123,0.00176854834336208,0.00136918943377364,0.00434887393159587,0.00154479393662212,0.00242744477247174,0.0016397097995137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tkld_percent_Take",0.00968907816382778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177489055746741,0.00524605093160953,0,0.00176239767982877,0.00284403989485644,0.00391198880474842,0.00807014814130405,0.00655072571193837,0.00259334356185157,0.00336077742490277,0.00139855435196129,0.00125581108636009,0,0.00113092217661855,0,0,0.0012063276880027,0.00290114683905698,0,0.00360834469057698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cmp_percent_Total",0.006313264475106,0,0,0,0,0,0,0,0,0.00239103629732947,0,0.00197903187196661,0,0,0,0,0,0.00120469293693287,0.00179495876444952,0.00544208689210232,0.00474774153193996,0.00655072571193837,0.0117649848028063,0.00350001507114566,0,0.00485168803599108,0.00147279573267871,0.00198347764694056,0.00178512961230984,0.00230133130682361,0.00139877312411444,0,0,0,0.00191880972665162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sh_per_90_Standard",0.00876179816737872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183246725538323,0.00151422946882414,0,0.000853253822658757,0.00132496191371176,0.00255196950223538,0.00259334356185157,0.00350001507114566,0.00755527360355807,0.00161854942480122,0.00334357353190574,0.00111376474022614,0,0.000918758557175489,0,0,0.00121279082709517,0.00188994455071514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cmp_percent_Short",0.00915803308947837,0,0,0,0,0,0,0,0.00382486029201095,0.0016748187645676,0,0.00284779536720049,0,0,0,0.00158667970490918,0.00333609765051928,0.00287867009345827,0.0015986651909142,0.00311238456025606,0,0.00336077742490277,0,0.00161854942480122,0.00862896277059075,0.00388515816857503,0.00296815126618943,0.000860760504260289,0.0011374992484984,0.00116116666946553,0.000994927002235499,0,0,0,0.00136641539281735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npxG_per_Sh_Expected",0.00766085569652654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204874793207017,0.00152647378661676,0,0.0014697659327569,0.00128999751584539,0.00267994486609982,0.00139855435196129,0.00485168803599108,0.00334357353190574,0.00388515816857503,0.00609488718413656,0.00075150528617787,0.00137679411512567,0.000800658219794536,0,0,0.00113468186577342,0.00152155139808523,0,0,0,0.00106749253129905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mn_per_MP_Playing.Time",0.00634640324590274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168846745590362,0.00253129104281803,0,0.00160627528420515,0.0015918852663773,0.0020264689811794,0.00125581108636009,0.00147279573267871,0.00111376474022614,0.00296815126618943,0.00075150528617787,0.00573290185628339,0.000798075642270514,0,0,0,0.00104183345049083,0.00105710750815474,0.00130742304321285,0,0,0.00184374833475902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dist_Standard",0.00449173853850146,0,0,0,0,0,0,0,0,0.00101978239766623,0,0.00142898358717085,0,0,0,0.00247654580498368,0.0027248834571179,0,0,0,0.00272077346665859,0,0.00198347764694056,0,0.000860760504260289,0.00137679411512567,0.000798075642270514,0.0094330850419907,0.00126409859368686,0,0,0.000904930530004925,0.00340202195606155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"np.G_minus_xG_Expected",0.00346711506893392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110779276121556,0.00184400347439818,0,0.00106577581010789,0.00166226162048541,0.00200609754101075,0.00113092217661855,0.00178512961230984,0.000918758557175489,0.0011374992484984,0.000800658219794536,0,0.00126409859368686,0.00489347310206098,0.000685026854144193,0.00062508160474695,0.00120051842532678,0.00162790601867794,0.000974361015405457,0.000738254312001202,0.00066812318570414,0.000811318586469344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.3rd_Touches",0.00746738703787998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133869411020463,0.0014266323113295,0,0.00082528453155487,0,0.00257846995003458,0,0.00230133130682361,0,0.00116116666946553,0,0,0,0.000685026854144193,0.00557975351200157,0,0.00112163670089301,0.00124996659875234,0.00183050535161777,0,0.00115219965138947,0.00183051863912932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_percent_Take",0.00665118479136939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237835726265155,0.00135793488832077,0,0.000573490365493133,0.00160817150917594,0.00246388352247979,0,0.00139877312411444,0,0.000994927002235499,0,0,0,0.00062508160474695,0,0.00566804914901328,0.00270285869043059,0.00207214727630732,0.0010572635027048,0.00091679850525755,0.00146599516094334,0.000959550448494615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fls",0,0,0,0,0,0,0,0,0,0.00123910693852145,0,0.0020620757361944,0,0,0,0,0,0.00307664430484912,0.000799517464155974,0.00294289753349517,0.00433174119376777,0.0012063276880027,0,0.00121279082709517,0,0.00113468186577342,0.00104183345049083,0.000904930530004925,0.00120051842532678,0.00112163670089301,0.00270285869043059,0.0104585078653579,0.002283227490559,0.00224670547849607,0.00096995978326459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tkl_percent_Challenges",0,0,0,0,0,0,0,0,0,0.00405991460440463,0,0.00213860599403496,0,0,0,0,0,0.00156851695584982,0.00162692684487392,0.0026644699836852,0.00438816304099398,0.00290114683905698,0,0.00188994455071514,0,0.00152155139808523,0.00105710750815474,0.00340202195606155,0.00162790601867794,0.00124996659875234,0.00207214727630732,0.002283227490559,0.0118183846190287,0.00348008395251036,0.000672994410409485,0.00253869448077759,0,0.000959294298070062,0.000970022205493445,0.00115722252350658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fld",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124394438352915,0,0,0.00268054041994123,0,0,0,0,0,0.00130742304321285,0,0.000974361015405457,0.00183050535161777,0.0010572635027048,0.00224670547849607,0.00348008395251036,0.00869794342931943,0.00145475073840161,0,0.00242240186271227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SoT_percent_Standard",0.00337333701314626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109266048565507,0.00237630194890793,0,0.000821454080868741,0.000876259016977171,0.00176854834336208,0.00360834469057698,0.00191880972665162,0,0.00136641539281735,0,0,0,0.000738254312001202,0,0.00091679850525755,0.00096995978326459,0.000672994410409485,0.00145475073840161,0.00570300110925687,0.00128193526944154,0.000532507405965083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCA90_SCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000760539070785736,0,0,0.00136918943377364,0,0,0,0,0,0,0,0.00066812318570414,0.00115219965138947,0.00146599516094334,0,0.00253869448077759,0,0.00128193526944154,0.0063444220778591,0.000801025828957983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mid.3rd_Tackles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105561167533406,0,0,0.00434887393159587,0,0,0,0,0.00106749253129905,0.00184374833475902,0,0.000811318586469344,0.00183051863912932,0.000959550448494615,0,0,0.00242240186271227,0.000532507405965083,0.000801025828957983,0.00784108530891287,0.00197789516539829,0.00151567323978613,0.000690667000704404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
