"","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","PC3_diff","On_minus_Off_Team.Success","Comp_from_to","plus_per__minus_90_Team.Success","Cmp_percent_Total","PC2_diff","PC4_diff","PC1_diff","total_diff","PPM_Team.Success","plus_per__minus__Team.Success","Won_percent_Aerial","Att.Pen_Touches","Cmp_percent_Short","Dead_Pass","Cmp_percent_Long","Cmp_percent_Medium","Succ_percent_Take","unSub_Subs","A_minus_xAG_Expected","Dist_Standard","Mn_per_MP_Playing.Time","Subs_Subs","Sh_per_90_Standard","Tkld_percent_Take","SoT_percent_Standard","np.G_minus_xG_Expected","G_minus_xG_Expected","GCA90_GCA","Nation","Att.3rd_Touches","SCA90_SCA","Fls","Fld","Tkl_percent_Challenges","npxG_per_Sh_Expected","Won_Aerial","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Lost_Aerial","Cmp_Total","Att_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_Medium","Att_Medium","Cmp_Long","Att_Long","Ast","xAG","xA_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Live_Touches","Att_Take","Succ_Take","Tkld_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","onG_Team.Success","onGA_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","player_position","Comp_going"
"Cmp_percent_Long",0,0,0,0,0,0.00343034931233678,0,0,0,0,0,0,0,0.00294769282555209,0.00378617452069144,0.00129339774910437,0.00389278557977059,0.002730928928861,0.0100635575159861,0,0.00397111673310779,0.00184006803188349,0.000987164281865805,0,0.00192528471131423,0.000775098319744717,0.000956273736363313,0.00186032844573725,0.00280683364452499,0.000769350570453644,0.00119653650787793,0,0.00127150752120804,0.00193915664203402,0,0,0,0,0.000884155280318501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cmp_percent_Medium",0,0,0,0,0,0.00582514988311529,0,0,0,0,0,0,0,0.00503171767973304,0.0049274538172169,0.00254691726631782,0.00346507178444072,0.00397936736238007,0,0.0117954360432594,0.00437516942775237,0.00320361941116275,0.00234075022639253,0,0.00416810991892275,0.00203345558191601,0.00129142075476863,0.00177695639796345,0.00214953601499223,0.0012401633345968,0.00136327612487895,0,0.00213740186710555,0.00281501474633766,0,0,0,0,0.00183036298887251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_percent_Take",0,0,0,0,0,0,0,0.00276767300816283,0,0,0,0,0,0.00473846329350216,0.00298771697089077,0,0.00414752608023974,0,0.00397111673310779,0.00437516942775237,0.0101355995786875,0.00196850559238077,0,0,0.00294106652727098,0.00206658289549545,0.00152770348205294,0.00247979433487238,0.00296959528521862,0.000637619936953853,0.00164399362457208,0,0.000554983615640724,0,0,0,0,0,0.000765568166698307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unSub_Subs",0,0,0,0,0,0,0,0.00253959485630414,0,0,0,0,0,0.00330145131117302,0.00402358941476578,0,0.00186537752141369,0,0.00184006803188349,0.00320361941116275,0.00196850559238077,0.0107844782840752,0,0.00242149901174264,0,0,0,0,0,0,0,0,0.00203834386599734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_minus_xAG_Expected",0,0,0,0,0,0,0,0.00175204011319053,0,0,0,0,0,0,0.00488300866548786,0.00162111964777509,0.00252042924956332,0.00182272664157434,0.000987164281865805,0.00234075022639253,0,0,0.010267795319737,0,0.00167100154488417,0.00116214688950279,0.000982283828377663,0.001206115744477,0.00107949283717444,0.00101206766338633,0.00110732494357643,0,0.000875001132795717,0.00167010407609281,0.00181809373599143,0,0,0.00121338826856588,0.00115367262350354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dist_Standard",0,0,0,0,0,0.0028851911240065,0,0,0,0,0,0,0,0.00352650984514605,0.003259805766113,0,0.00375652629069625,0,0,0,0,0.00242149901174264,0,0.012152840469959,0.00429013913844773,0.00255648843819665,0,0,0,0.000734570637899746,0.000968103414775986,0,0.00154393382362662,0,0,0,0,0,0.00157279537827578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mn_per_MP_Playing.Time",0,0,0,0,0,0,0,0.00140108395455878,0,0,0,0,0,0,0.00409664016825949,0,0.00375854656539761,0,0.00192528471131423,0.00416810991892275,0.00294106652727098,0,0.00167100154488417,0.00429013913844773,0.00840574804690858,0.0016053075378003,0,0.00233017282448298,0.0026653343351876,0,0,0,0.000948162203827593,0,0.00138263814100741,0,0,0.00111762359997037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subs_Subs",0,0,0,0,0,0,0,0.00162101254589034,0,0,0,0,0,0,0.00244980188108947,0,0.00179372520103959,0.0016134137591493,0.000775098319744717,0.00203345558191601,0.00206658289549545,0,0.00116214688950279,0.00255648843819665,0.0016053075378003,0.00638333007773556,0.000740332966688552,0.00114645630621089,0.00130177886155704,0,0,0.00251378388297821,0.00158720134477567,0,0.001489380181573,0.000850654594312875,0,0.00104620321204295,0.000564858435928415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sh_per_90_Standard",0,0,0,0,0,0,0,0.00100425613325908,0,0,0,0,0,0,0.00246667877904422,0,0.00206103840350547,0.00162750215189431,0.000956273736363313,0.00129142075476863,0.00152770348205294,0,0.000982283828377663,0,0,0.000740332966688552,0.00693558174720704,0.00138510192236736,0.00110264399788553,0.000950851517976334,0.000644649260418587,0.00329412298042789,0.000900187067185821,0,0.00146824851606656,0,0,0.00112974748799272,0.000695675161520342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tkld_percent_Take",0,0,0,0,0,0,0,0.00162152767488129,0,0,0,0,0,0,0.00270982710319387,0,0.00238978247332205,0,0.00186032844573725,0.00177695639796345,0.00247979433487238,0,0.001206115744477,0,0.00233017282448298,0.00114645630621089,0.00138510192236736,0.00824985173473702,0,0.000515173779271874,0.000754398732047159,0,0.00150708570650037,0,0.00130342024992925,0,0,0.00184066284471093,0.000862589600506878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SoT_percent_Standard",0,0,0,0,0,0,0,0.00177340249669764,0,0,0,0,0,0,0.00219084640534219,0,0.00270368789687331,0,0.00280683364452499,0.00214953601499223,0.00296959528521862,0,0.00107949283717444,0,0.0026653343351876,0.00130177886155704,0.00110264399788553,0,0.00797000626922317,0.00167630944581811,0.000671352210538843,0,0.000570866090504457,0,0.00162027135929486,0,0,0.00227068729216135,0.000702266134060036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"np.G_minus_xG_Expected",0,0,0,0,0,0,0,0.000542473641512455,0,0,0,0,0,0,0.00199478497869749,0,0.00111219090637678,0.000851581292019716,0.000769350570453644,0.0012401633345968,0.000637619936953853,0,0.00101206766338633,0.000734570637899746,0,0,0.000950851517976334,0.000515173779271874,0.00167630944581811,0.00533172910046775,0.00115892235978522,0.00169973604983747,0.00146351829776371,0,0.00065325274094969,0.00074547780157088,0.000907387433532067,0.000681472881387216,0.000888066491892748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_minus_xG_Expected",0,0,0,0,0,0,0,0.00101623155292738,0,0,0,0,0,0,0.00190699223449641,0,0.00177550994576815,0.00141963254577966,0.00119653650787793,0.00136327612487895,0.00164399362457208,0,0.00110732494357643,0.000968103414775986,0,0,0.000644649260418587,0.000754398732047159,0.000671352210538843,0.00115892235978522,0.00602109451852315,0.00159543373107669,0.00095663153720993,0,0.000701237370386262,0.000716876271443252,0.000866800352547333,0.0014468407968174,0.000709128624139535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCA90_GCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471737147913501,0,0,0,0,0,0,0,0,0,0.00251378388297821,0.00329412298042789,0,0,0.00169973604983747,0.00159543373107669,0.0166165670929788,0.00460409605228584,0.00413158444008277,0.00274140860581859,0.00212981163310218,0.00159631922842333,0.00319223213335241,0.0014560170634647,0.00160037546797575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nation",0,0,0,0,0,0.00323996038639571,0,0.00113328173388508,0,0,0,0,0,0.00191943061591731,0,0.00188038083084079,0,0.0010333610678461,0.00127150752120804,0.00213740186710555,0.000554983615640724,0.00203834386599734,0.000875001132795717,0.00154393382362662,0.000948162203827593,0.00158720134477567,0.000900187067185821,0.00150708570650037,0.000570866090504457,0.00146351829776371,0.00095663153720993,0.00460409605228584,0.0102770627102892,0.0019361618965463,0.00162713195599046,0.000771441510733339,0.00116178248947665,0.000937107778929014,0.00098163621966395,0.00106885986291579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.3rd_Touches",0,0,0,0,0,0,0,0.00177334650920293,0,0,0,0,0,0,0.00455048008805224,0,0.00340973620960422,0.00305741907901845,0.00193915664203402,0.00281501474633766,0,0,0.00167010407609281,0,0,0,0,0,0,0,0,0.00413158444008277,0.0019361618965463,0.0107953949746095,0.00306482092451867,0.00195882092075069,0.000651194461497653,0.0017179237080067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCA90_SCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210363250763559,0,0.00255724431575719,0,0.00181967360009157,0,0,0,0,0.00181809373599143,0,0.00138263814100741,0.001489380181573,0.00146824851606656,0.00130342024992925,0.00162027135929486,0.00065325274094969,0.000701237370386262,0.00274140860581859,0.00162713195599046,0.00306482092451867,0.00929849456919749,0.00149222411993448,0.00121512833126883,0,0.00164662267704375,0.00136872816693072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177479512652281,0,0,0,0,0,0,0,0,0,0.000850654594312875,0,0,0,0.00074547780157088,0.000716876271443252,0.00212981163310218,0.000771441510733339,0.00195882092075069,0.00149222411993448,0.00836878814662947,0.00116546979562441,0.00130949099976563,0,0.0012624772492644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fld",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147211077675128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000907387433532067,0.000866800352547333,0.00159631922842333,0.00116178248947665,0.000651194461497653,0.00121512833126883,0.00116546979562441,0.00882186035499327,0.00168775783208185,0,0.00113542059174328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
