"","Cmp_percent_Short","npxG_Expected","Final_Third_Carries","Subs_Subs","Att.Pen_Touches","onxG_Team.Success..xG.","G.A","xG_Expected","CPA_Carries","Mn_per_MP_Playing.Time","np.G_minus_xG_Expected","SoT_per_90_Standard","xGplus_per__minus_90_Team.Success..xG","Dist_Standard","G_minus_xG_Expected","PPA","Cmp_percent_Total","Cmp_percent_Medium","On_minus_Off_Team.Success","Succ_Take","Cmp_percent_Long","Att_Short","PC1_diff","PC3_diff","PC4_diff","PPM_Team.Success","plus_per__minus__Team.Success","xGplus_per__minus__Team.Success..xG","plus_per__minus_90_Team.Success","onG_Team.Success","On_minus_Off_Team.Success..xG","Att.3rd_Touches","Sh_per_90_Standard","PC2_diff","Att_Take","Rec_Receiving","Nation","A_minus_xAG_Expected","TO_GCA","GCA90_GCA","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","PassLive_GCA","PassDead_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Cmp_Medium","Att_Medium","Cmp_Long","Att_Long","Ast","xAG","xA_Expected","KP","Final_Third","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Live_Touches","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Mis_Carries","Dis_Carries","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","G_per_Sh_Standard","G_per_SoT_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","unSub_Subs","onGA_Team.Success","onxGA_Team.Success..xG","player_position","Comp_going","Comp_from_to","total_diff"
"Cmp_percent_Short",625490.989822107,120770.847720757,117696.185436952,56501.6819335518,0,0,16980.9208740662,62264.4299044399,0,56092.2235010233,0,27830.3963574095,24401.6740306201,17387.9358798247,14609.2430598144,0,0,30667.6229554758,11551.6935140812,13240.0668390629,7692.99334449403,0,0,0,8734.87937981704,0,0,0,16818.3590328501,0,20924.1976612309,0,0,7719.82155111859,6060.70615312451,3087.1677651203,0,3985.22338118292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npxG_Expected",120770.847720757,86764.2090470437,0,1094.77832037904,25681.5777229648,0,0,18430.8089980703,4845.41892655938,10535.6010290583,0,4274.03803676691,0,2521.53841251083,0,1391.92915057045,1975.55715443755,0,2797.69254989894,0,8357.74078651255,6961.15144763998,0,0,1600.17492954315,0,0,0,0,0,0,1251.44053639541,838.388318495356,0,0,0,0,6939.48433569049,267.831409773747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Final_Third_Carries",117696.185436952,0,102350.388945454,1946.4228767378,14491.8486713928,0,0,0,0,0,0,0,0,0,0,4138.16018080432,1406.05078477878,0,6681.17215892961,0,1985.91410409549,1884.24746279307,0,0,0,0,0,0,0,0,0,1754.05171544602,0,0,0,1264.8383057226,0,3274.04342214349,476.391122828232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subs_Subs",56501.6819335518,1094.77832037904,1946.4228767378,88839.6857055505,1667.28357913291,0,23979.8804096874,3102.78260151967,2526.81304662025,3718.72261026375,3332.74907412891,4456.73452125792,0,1407.48884676063,8142.81042110271,2615.22202815079,9342.5344233651,0,2590.47265018638,0,6355.45226420298,1287.54997706841,0,0,0,0,0,0,0,0,0,1627.95880553595,8811.09249759313,0,0,0,0,3050.61593461263,321.217031531331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.Pen_Touches",0,25681.5777229648,14491.8486713928,1667.28357913291,477132.799736207,156230.71349404,131812.108540642,125175.684316433,24921.0975335946,28868.8890173409,25528.3311808987,16721.632005846,4148.23996394495,6024.41884516014,11454.5445488887,7283.11521569898,0,0,10434.3131615327,17065.6036331786,0,0,0,0,5954.2785643604,0,0,0,17004.923212842,0,5206.41372253174,1182.19287278339,20170.076146684,5016.72000352642,20978.3247365132,8629.77701921535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"onxG_Team.Success..xG.",0,0,0,0,156230.71349404,236631.228875662,0,0,27063.5221005152,0,1354.22095263615,0,1849.94705516204,0,0,1280.47999354615,0,0,0,0,0,0,0,0,9028.61396553835,13663.9970818256,48574.2544591446,0,0,19548.6102784727,4196.44495367988,4491.65884079944,0,2171.52218356156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G.A",16980.9208740662,0,0,23979.8804096874,131812.108540642,0,210788.236965792,0,15826.7620509916,45838.7577480984,30996.1125467589,0,8948.34143764712,6091.02717103591,0,10668.5562569252,0,0,6550.86668545197,0,0,0,0,0,16925.689442624,0,0,0,0,0,5894.59229356943,4625.80617575485,1513.58946785369,0,0,0,0,0,2811.09303641784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xG_Expected",62264.4299044399,18430.8089980703,0,3102.78260151967,125175.684316433,0,0,133908.144366594,16176.9211464395,24165.1569756729,0,12679.5867510271,0,4200.6044005677,0,4743.16881595829,20829.5633648787,0,2911.17438590171,0,9312.52712009734,0,0,0,1416.87286261974,0,0,0,0,0,0,2203.62918618235,4604.63022287995,0,0,0,0,6212.0980537997,6634.29198675098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPA_Carries",0,4845.41892655938,0,2526.81304662025,24921.0975335946,27063.5221005152,15826.7620509916,16176.9211464395,200351.853998365,18517.2626932779,0,11833.4910242503,18344.7857681108,12040.2227447273,10410.0041162675,5909.04540410544,0,0,4215.42883931642,0,0,0,0,0,6104.79051385527,0,0,0,5828.64192362976,0,2322.90721076481,7232.7695608996,2283.54107129212,5213.74611479355,0,3562.83745182048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mn_per_MP_Playing.Time",56092.2235010233,10535.6010290583,0,3718.72261026375,28868.8890173409,0,45838.7577480984,24165.1569756729,18517.2626932779,237838.669557699,28675.8592640414,17383.225187304,0,11721.0193457964,9059.10405752691,5401.18154764261,18726.2338775379,0,5274.11894201786,0,7161.40430405142,3799.08739977822,0,0,0,0,0,0,0,0,0,10032.7577393925,6000.8442212425,0,0,0,0,7055.27778977965,6185.62310301945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"np.G_minus_xG_Expected",0,0,0,3332.74907412891,25528.3311808987,1354.22095263615,30996.1125467589,0,0,28675.8592640414,134929.385374774,0,5997.21527330798,0,0,6647.90447888095,0,0,23822.9038482592,0,0,0,0,0,4587.91720084558,0,0,0,6346.85079633297,0,27878.7511586739,5814.28887565936,0,3635.15383889102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SoT_per_90_Standard",27830.3963574095,4274.03803676691,0,4456.73452125792,16721.632005846,0,0,12679.5867510271,11833.4910242503,17383.225187304,0,151816.933834387,10397.1835555624,0,2804.32478578458,9195.05552876966,0,0,4046.6920519432,0,0,0,0,0,3841.05268491785,0,0,0,0,0,6248.28093219583,619.460741201442,6645.53561255577,0,0,0,0,0,1374.92002142645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xGplus_per__minus_90_Team.Success..xG",24401.6740306201,0,0,0,4148.23996394495,1849.94705516204,8948.34143764712,0,18344.7857681108,0,5997.21527330798,10397.1835555624,137666.688501718,3640.99472928506,7924.18023045606,914.435480571476,0,0,0,0,0,0,0,0,3930.41697795596,9526.15169972139,7046.35608241815,11967.2012684364,13376.5482970186,3604.23272697507,0,2048.98604390405,2456.54884324923,0,0,0,0,0,972.803410292289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dist_Standard",17387.9358798247,2521.53841251083,0,1407.48884676063,6024.41884516014,0,6091.02717103591,4200.6044005677,12040.2227447273,11721.0193457964,0,0,3640.99472928506,137484.982827503,1883.76102237207,5270.26091327709,0,0,3080.9815891064,0,0,0,0,0,2203.07256182488,0,0,0,0,0,2987.13632268171,654.046662033191,1789.1006971482,2544.25850365404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_minus_xG_Expected",14609.2430598144,0,0,8142.81042110271,11454.5445488887,0,0,0,10410.0041162675,9059.10405752691,0,2804.32478578458,7924.18023045606,1883.76102237207,143445.994593557,10029.9939315922,0,0,13786.9017661758,0,0,0,0,0,6619.84370181206,0,0,0,0,0,0,5133.22300300519,3779.51855446666,0,0,0,0,0,846.855663988352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPA",0,1391.92915057045,4138.16018080432,2615.22202815079,7283.11521569898,1280.47999354615,10668.5562569252,4743.16881595829,5909.04540410544,5401.18154764261,6647.90447888095,9195.05552876966,914.435480571476,5270.26091327709,10029.9939315922,136760.66169661,0,0,2296.23040697625,1675.02263505734,0,0,0,2388.19283579714,3639.45485876302,0,0,0,1870.56373924022,0,5275.62075827114,0,1588.55967443491,1506.14657670012,1833.17200754846,1114.08552198686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
