"","PC1_diff","total_diff","PC2_diff","PC3_diff","SCA90_SCA","plus_per__minus__Team.Success","onxG_Team.Success..xG.","xGplus_per__minus__Team.Success..xG","Comp_from_to","TB_Pass","onG_Team.Success","CPA_Carries","Att.3rd_Touches","Att.Pen_Touches","unSub_Subs","PPM_Team.Success","G.A","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success..xG","PC4_diff","Subs_Subs","Att_Short","Succ_Take","Sw_Pass","Cmp_percent_Long","Nation","Cmp_percent_Total","xGplus_per__minus_90_Team.Success..xG","Tkl_percent_Challenges","G_minus_xG_Expected","Cmp_percent_Short","SoT_per_90_Standard","Cmp_percent_Medium","SoT_Standard","A_minus_xAG_Expected","GCA90_GCA","FK_Standard","npxG_Expected","Def.3rd_Touches","TO_GCA","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","PassLive_GCA","PassDead_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Cmp_Medium","Att_Medium","Cmp_Long","Att_Long","Ast","xAG","xA_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Mid.3rd_Touches","Live_Touches","Att_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_percent_Standard","Sh_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_per_Sh_Expected","np.G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","onGA_Team.Success","On_minus_Off_Team.Success","onxGA_Team.Success..xG","player_position","Comp_going"
"PC1_diff",1470194.66385798,240088.338515184,26373.9614575103,15887.258877386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17617.2398312758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"total_diff",240088.338515184,117650.381904843,9830.70169349056,4128.86142508184,12628.173673272,6259.20608934836,1544.65787772438,7722.75124975817,0,0,2024.28423508341,6803.78406576944,3670.77386757388,1224.56379624738,11829.0571014406,6629.35231215062,3628.80680194578,4544.11035409972,4790.90023497739,11231.7765665227,3303.67967254801,0,0,0,0,22737.0284043169,2898.87186920649,0,4504.69488036227,0,6337.70954327864,2866.08302950037,4865.2566452642,1004.95116054538,2305.15129842426,3301.83794817556,0,614.10546399054,1557.4584126278,1649.72488034034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC2_diff",26373.9614575103,9830.70169349056,141194.910770621,4292.50721036251,0,5571.05089493751,0,4741.31855371616,0,0,0,0,2573.02034497131,3082.1706054564,0,4350.65694543102,1310.2163214323,3181.7687399444,0,2653.10859376505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC3_diff",15887.258877386,4128.86142508184,4292.50721036251,112208.803061189,9643.02491807227,5032.44135334823,2271.12813954809,12051.4017594819,0,0,1972.44099498705,1667.12687770817,4150.3100603155,1013.47335595956,20112.7302026524,2850.3403864617,1056.64388558358,4638.30465323181,2026.73304693996,0,4856.0773625463,0,0,0,0,6208.82074331475,3509.34509517879,0,8200.50427085711,0,4647.51954724358,4267.24363227803,11571.0418277203,1321.42011198086,1126.80219306149,1492.8913989231,0,0,1432.07480521326,107.633015068624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCA90_SCA",0,12628.173673272,0,9643.02491807227,142030.593662806,0,1838.37172881001,0,10199.6472846721,6711.57208014473,0,0,0,0,5893.49736339356,0,0,0,0,0,0,8561.37951246626,3599.45416055187,1518.24537159761,10647.8980180742,3844.15782372359,8970.80606892136,5746.7306466464,0,4352.94837335522,0,0,0,1241.72800576775,0,3628.9388003258,719.41485507054,953.769509765593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plus_per__minus__Team.Success",0,6259.20608934836,5571.05089493751,5032.44135334823,0,688801.728675491,100126.624297218,71060.5392324084,49782.191529958,0,0,0,0,0,0,0,0,10146.5072155144,10106.2573210558,8022.53859433349,0,0,0,0,0,0,0,10158.6902375534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"onxG_Team.Success..xG.",0,1544.65787772438,0,2271.12813954809,1838.37172881001,100126.624297218,111632.270568863,0,10151.8074424097,0,4207.15805631359,10090.0636484601,4047.92455321354,2817.3250773528,0,5290.62741919645,10859.8150485686,3909.79589510874,0,0,2730.27813241355,0,0,0,0,4506.25863750076,0,4060.69610430978,0,0,2652.93762217431,7733.85498599203,5163.02506310498,0,1128.8312525571,0,0,0,1540.49399748929,1105.68513218633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xGplus_per__minus__Team.Success..xG",0,7722.75124975817,4741.31855371616,12051.4017594819,0,71060.5392324084,0,371116.55898166,12245.0189708088,0,0,0,0,0,0,0,0,0,17945.7962973354,9468.54941491589,0,0,0,0,0,0,0,3954.172869044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comp_from_to",0,0,0,0,10199.6472846721,49782.191529958,10151.8074424097,12245.0189708088,239195.326815201,29378.2641726182,26132.9311693716,16339.0249242858,8242.15344670615,8729.94361541931,15611.7185540365,21409.4804916245,12788.9874979893,4192.15371650143,20056.0242187107,0,6623.03387678696,13047.4712090599,0,0,7877.59089352435,26348.9339411252,8004.69362841372,5010.70859200544,4621.67200110896,15383.624898757,15081.8187185732,8297.84179972857,29048.5414424859,5566.41488059125,4103.92025265742,10635.9129633336,0,3919.05763575463,7500.13232824695,919.675548622124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TB_Pass",0,0,0,0,6711.57208014473,0,0,0,29378.2641726182,101104.321567629,0,0,0,0,0,0,0,0,0,0,0,25890.8324469512,6802.40125704562,8011.24441228081,3631.77087047191,5942.92791250206,5896.73632633782,0,12450.2840613058,0,3416.13518593896,0,12059.5885879535,0,1736.57208988245,1379.17502727305,7797.97934509923,0,0,1375.9140253763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"onG_Team.Success",0,2024.28423508341,0,1972.44099498705,0,0,4207.15805631359,0,26132.9311693716,0,127880.485376965,7834.17922605157,8487.81207521199,7635.08657968918,0,8872.96486365404,7038.18672667993,0,0,0,2550.61007663209,0,0,0,0,5197.27841877064,0,2597.04173960344,0,0,1239.64977214393,0,5020.1286035954,0,2297.78786036093,0,0,0,1107.41810052959,2042.3445707723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPA_Carries",0,6803.78406576944,0,1667.12687770817,0,0,10090.0636484601,0,16339.0249242858,0,7834.17922605157,298977.35616671,80663.0540453317,63843.3878171283,56713.5591776608,0,0,0,2299.88776890347,16807.0673706704,2588.90362623248,0,0,0,0,0,0,2146.91768999295,0,4534.30051800311,0,38163.7974980203,0,8369.17016789392,0,0,2751.85205344219,13899.2512936049,0,135.033000882703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.3rd_Touches",0,3670.77386757388,2573.02034497131,4150.3100603155,0,0,4047.92455321354,0,8242.15344670615,0,8487.81207521199,80663.0540453317,185211.993170527,11582.7459088758,7773.64631087084,15201.6027864311,7032.30406523915,9584.44167811413,1913.17235686946,4629.9977521964,4166.70115718286,0,17338.77419347,0,0,0,0,5913.32707922366,0,6585.5748883223,0,1767.62083708633,0,5317.68600036931,0,0,1969.32069476463,2106.48873061583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.Pen_Touches",0,1224.56379624738,3082.1706054564,1013.47335595956,0,0,2817.3250773528,0,8729.94361541931,0,7635.08657968918,63843.3878171283,11582.7459088758,284804.93418839,32176.9510338708,13884.0289940938,0,2275.16465817019,35638.7925990312,2986.45273761666,1926.41935810447,0,41253.5637483361,0,0,0,0,3978.01795006598,0,6567.63345782277,0,3489.81350434698,0,7027.7219928199,0,0,2882.14726401172,1560.73087543597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unSub_Subs",0,11829.0571014406,0,20112.7302026524,5893.49736339356,0,0,0,15611.7185540365,0,0,56713.5591776608,7773.64631087084,32176.9510338708,237279.793727386,0,10565.021832633,0,0,0,12172.9453309115,0,0,0,0,11505.313917614,0,4101.54364951378,0,0,6173.33078281448,3835.80127360176,5013.38596867383,0,2900.98191427306,0,0,0,2557.14632444825,1088.95801180982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPM_Team.Success",0,6629.35231215062,4350.65694543102,2850.3403864617,0,0,5290.62741919645,0,21409.4804916245,0,8872.96486365404,0,15201.6027864311,13884.0289940938,0,292576.793309156,42815.7684095042,0,10317.0205751071,5383.89437059714,0,0,0,0,0,0,0,4737.14335332787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
